Description,Gene_symbol
recombination activating 2,RAG2
TNF receptor associated factor 6,TRAF6
zinc finger protein 654,ZNF654
trans-golgi network vesicle protein 23 homolog C,TVP23C
mitochondrial ribosomal protein S22,MRPS22
WAP four-disulfide core domain 5,WFDC5
MARCKS like 1,MARCKSL1
SH3 binding domain protein 5 like,SH3BP5L
olfactory receptor family 2 subfamily T member 1,OR2T1
TMEM51 antisense RNA 1,TMEM51-AS1
yippee like 2,YPEL2
"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",ABO
"proteasome 26S subunit ubiquitin receptor, non-ATPase 2",PSMD2
family with sequence similarity 182 member B,FAM182B
"protein phosphatase, Mg2+/Mn2+ dependent 1E",PPM1E
family with sequence similarity 131 member A,FAM131A
cysteine and glycine rich protein 2,CSRP2
inhibin subunit beta C,INHBC
presenilin associated rhomboid like,PARL
DNA damage inducible transcript 3,DDIT3
propionyl-CoA carboxylase subunit alpha,PCCA
HIG1 hypoxia inducible domain family member 2B,HIGD2B
natriuretic peptide A,NPPA
CTD small phosphatase 2,CTDSP2
cytoskeleton associated protein 5,CKAP5
Rho GTPase activating protein 1,ARHGAP1
autophagy related 13,ATG13
chromosome 1 open reading frame 127,C1orf127
golgin A8 family member A,GOLGA8A
von Willebrand factor A domain containing 3A,VWA3A
tumor protein p53 inducible protein 11,TP53I11
phytanoyl-CoA dioxygenase domain containing 1,PHYHD1
cation channel sperm associated 1,CATSPER1
ankyrin repeat domain 30B pseudogene 1,ANKRD30BP1
cyclin E2,CCNE2
ankyrin repeat and sterile alpha motif domain containing 4B,ANKS4B
cystatin E/M,CST6
GRAM domain containing 2A,GRAMD2A
neurofibromin 1 pseudogene 5,NF1P5
zinc finger protein 519,ZNF519
"LSM1 homolog, mRNA degradation associated",LSM1
PROP paired-like homeobox 1,PROP1
intestine specific homeobox,ISX
barrier to autointegration nuclear assembly factor 1,BANF1
cholinergic receptor nicotinic alpha 7 subunit,CHRNA7
TMEM9 domain family member B,TMEM9B
nuclear receptor interacting protein 3,NRIP3
protein tyrosine phosphatase non-receptor type 2,PTPN2
"signal peptide, CUB domain and EGF like domain containing 2",SCUBE2
eukaryotic translation initiation factor 1A domain containing,EIF1AD
olfactory receptor family 10 subfamily P member 1,OR10P1
ARF like GTPase 10,ARL10
proprotein convertase subtilisin/kexin type 1,PCSK1
Rieske Fe-S domain containing,RFESD
coiled-coil domain containing 14,CCDC14
"spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP",SART1
protein phosphatase 2 regulatory subunit Bdelta,PPP2R2D
multiple C2 and transmembrane domain containing 1,MCTP1
"DNA polymerase delta 4, accessory subunit",POLD4
olfactory receptor family 52 subfamily W member 1,OR52W1
leucine rich repeat containing 25,LRRC25
dipeptidyl peptidase like 10,DPP10
cardiotrophin like cytokine factor 1,CLCF1
ACR pseudogene 1,ACRP1
testis specific 10 interacting protein,TSGA10IP
G protein-coupled receptor 152,GPR152
ubiquilin like,UBQLNL
ubiquilin 3,UBQLN3
lipoyl(octanoyl) transferase 2,LIPT2
potassium voltage-gated channel subfamily E regulatory subunit 3,KCNE3
calcium binding protein 4,CABP4
"ALG10 alpha-1,2-glucosyltransferase B",ALG10B
DR1 associated protein 1,DRAP1
LON peptidase N-terminal domain and ring finger 3,LONRF3
uncoupling protein 3,UCP3
uncoupling protein 2,UCP2
chromosome 11 open reading frame 68,C11orf68
proteasomal ATPase associated factor 1,PAAF1
mitochondrial ribosomal protein L48,MRPL48
"RAB6A, member RAS oncogene family",RAB6A
purinergic receptor P2Y2,P2RY2
"FOS like 1, AP-1 transcription factor subunit",FOSL1
"ERCC excision repair 4, endonuclease catalytic subunit",ERCC4
succinyl-CoA:glutarate-CoA transferase,SUGCT
coiled-coil domain containing 85B,CCDC85B
transmembrane protein 70,TMEM70
ERCC6L2 antisense RNA 1,ERCC6L2-AS1
olfactory receptor family 4 subfamily B member 1,OR4B1
ribosomal protein S6 kinase B2,RPS6KB2
RecQ mediated genome instability 2,RMI2
protamine 1,PRM1
dopamine receptor D5 pseudogene 2,DRD5P2
target of myb1 like 2 membrane trafficking protein,TOM1L2
testis expressed 26,TEX26
G protein-coupled receptor 156,GPR156
coiled-coil domain containing 197,CCDC197
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1",B3GNTL1
RBMX like 3,RBMXL3
MLX interacting protein,MLXIP
long intergenic non-protein coding RNA 2873,LINC02873
BCL2 antagonist/killer 1 pseudogene 1,BAK1P1
RWD domain containing 4 pseudogene 2,RWDD4P2
long intergenic non-protein coding RNA 2915,LINC02915
eukaryotic translation initiation factor 3 subunit K pseudogene 1,EIF3KP1
aurora kinase A interacting protein 1,AURKAIP1
tubulin tyrosine ligase like 11,TTLL11
eukaryotic translation initiation factor 4E family member 1B,EIF4E1B
translocase of outer mitochondrial membrane 5,TOMM5
long intergenic non-protein coding RNA 1106,LINC01106
ZBTB44 divergent transcript,ZBTB44-DT
proline rich membrane anchor 1,PRIMA1
RuvB like AAA ATPase 1,RUVBL1
olfactory receptor family 52 subfamily B member 3 pseudogene,OR52B3P
methionine sulfoxide reductase A,MSRA
Cbl proto-oncogene like 2,CBLL2
coiled-coil domain containing 168,CCDC168
ETS variant transcription factor 4,ETV4
"ARB2 family member B, pseudogene",ARB2BP
SWI5 homologous recombination repair protein,SWI5
"GRB2 binding adaptor protein, transmembrane",GAPT
BAR/IMD domain containing adaptor protein 2,BAIAP2
calcitonin related polypeptide beta,CALCB
cellular repressor of E1A stimulated genes 2,CREG2
transmembrane protein 270,TMEM270
homeobox D8,HOXD8
ribosomal protein L7a pseudogene 66,RPL7AP66
zinc finger DHHC-type palmitoyltransferase 21,ZDHHC21
thrombospondin type laminin G domain and EAR repeats,TSPEAR
pleckstrin homology and FYVE domain containing 2,PLEKHF2
ARF like GTPase 4D,ARL4D
docking protein 7,DOK7
leucine rich repeat neuronal 1,LRRN1
ubiquitin conjugating enzyme E2 O,UBE2O
ORAI calcium release-activated calcium modulator 3,ORAI3
kelch like family member 38,KLHL38
long intergenic non-protein coding RNA 2880,LINC02880
unc-119 lipid binding chaperone B,UNC119B
DENN domain containing 2C,DENND2C
pleckstrin homology and coiled-coil domain containing D1,PLEKHD1
"family with sequence similarity 220 member B, pseudogene",FAM220BP
achaete-scute family bHLH transcription factor 3,ASCL3
tubulin beta 6 class V,TUBB6
LysM domain containing 3,LYSMD3
adhesion molecule with Ig like domain 3,AMIGO3
chromosome 11 open reading frame 16,C11orf16
transmembrane serine protease 7,TMPRSS7
ribosomal protein L36 pseudogene 3,RPL36P3
"nuclear protein 1, transcriptional regulator",NUPR1
janus kinase and microtubule interacting protein 2,JAKMIP2
ribosomal protein L23 pseudogene 2,RPL23P2
metallo-beta-lactamase domain containing 2,MBLAC2
potassium voltage-gated channel subfamily E regulatory subunit 5,KCNE5
crystallin beta-gamma domain containing 2,CRYBG2
SS nuclear autoantigen 1,SSNA1
"YES proto-oncogene 1, Src family tyrosine kinase",YES1
aquaporin 7 pseudogene 4,AQP7P4
UFM1 specific peptidase 1,UFSP1
melanocortin 5 receptor,MC5R
t-complex 11 like 1,TCP11L1
coiled-coil domain containing 57,CCDC57
forkhead box G1,FOXG1
BCL2 interacting protein 3,BNIP3
ENTH domain containing 1,ENTHD1
"Myb related transcription factor, partner of profilin",MYPOP
cell death inducing DFFA like effector a,CIDEA
olfactory receptor family 11 subfamily H member 4,OR11H4
olfactory receptor family 4 subfamily D member 11,OR4D11
leucine rich repeat transmembrane neuronal 4,LRRTM4
ATPase family AAA domain containing 5,ATAD5
small integral membrane protein 19,SMIM19
olfactory receptor family 11 subfamily H member 6,OR11H6
zinc finger protein 404,ZNF404
olfactory receptor family 4 subfamily K member 17,OR4K17
olfactory receptor family 10 subfamily H member 4,OR10H4
RPP38 divergent transcript,RPP38-DT
olfactory receptor family 51 subfamily B member 6,OR51B6
CDV3 pseudogene 1,CDV3P1
acyl-CoA binding domain containing 7,ACBD7
olfactory receptor family 4 subfamily L member 1,OR4L1
anaphase promoting complex subunit 2,ANAPC2
olfactory receptor family 4 subfamily K member 13,OR4K13
high mobility group box 4,HMGB4
zinc finger and BTB domain containing 8 opposite strand,ZBTB8OS
CYCS pseudogene 34,CYCSP34
olfactory receptor family 4 subfamily F member 21,OR4F21
olfactory receptor family 4 subfamily K member 5,OR4K5
iduronate 2-sulfatase pseudogene 1,IDSP1
olfactory receptor family 4 subfamily K member 3 (gene/pseudogene),OR4K3
olfactory receptor family 4 subfamily N member 2,OR4N2
olfactory receptor family 4 subfamily M member 1,OR4M1
forkhead box R1,FOXR1
olfactory receptor family 4 subfamily H member 12 pseudogene,OR4H12P
forkhead box N3 pseudogene 1,FOXN3P1
cytochrome c oxidase subunit 8A,COX8A
ribosomal protein L37a pseudogene 8,RPL37AP8
tachykinin precursor 4,TAC4
zinc finger and SCAN domain containing 2,ZSCAN2
profilin 1 pseudogene 10,PFN1P10
proline rich 18,PRR18
cell division cycle 26,CDC26
hydroxysteroid 11-beta dehydrogenase 2,HSD11B2
cytokine receptor like factor 3,CRLF3
EP300 interacting inhibitor of differentiation 2,EID2
DMRT like family A1,DMRTA1
EP300 interacting inhibitor of differentiation 2B,EID2B
gap junction protein gamma 3,GJC3
regulating synaptic membrane exocytosis 2,RIMS2
potassium channel modulatory factor 1,KCMF1
DnaJ heat shock protein family (Hsp40) member C30,DNAJC30
SPRY domain containing 4,SPRYD4
VPS37D subunit of ESCRT-I,VPS37D
C-type lectin domain containing 14A,CLEC14A
spectrin repeat containing nuclear envelope family member 3,SYNE3
CDC like kinase 2,CLK2
WD repeat domain 25,WDR25
SAGA complex associated factor 29,SGF29
DIRAS family GTPase 1,DIRAS1
olfactory receptor family 5 subfamily AN member 1,OR5AN1
olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene),OR10AC1
pleckstrin homology like domain family B member 3,PHLDB3
proline rich 15,PRR15
G protein subunit gamma 7,GNG7
olfactory receptor family 4 subfamily C member 5,OR4C5
upstream transcription factor family member 3,USF3
olfactory receptor family 4 subfamily C member 3,OR4C3
olfactory receptor family 4 subfamily S member 1,OR4S1
cyclin N-terminal domain containing 1,CNTD1
DDB1 and CUL4 associated factor 4 like 2,DCAF4L2
olfactory receptor family 4 subfamily X member 1,OR4X1
cyclic nucleotide binding domain containing 1,CNBD1
ZNF606 antisense RNA 1,ZNF606-AS1
kelch repeat and BTB domain containing 11,KBTBD11
"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",B3GNT5
long intergenic non-protein coding RNA 2914,LINC02914
lamin B2,LMNB2
regulator of microtubule dynamics 1,RMDN1
mex-3 RNA binding family member C,MEX3C
HORMA domain containing 2,HORMAD2
Nanog homeobox pseudogene 1,NANOGP1
myosin ID,MYO1D
long intergenic non-protein coding RNA 2910,LINC02910
forkhead box L1,FOXL1
TGFB induced factor homeobox 2 like Y-linked,TGIF2LY
leucine rich repeat containing 37A,LRRC37A
forkhead box C2,FOXC2
olfactory receptor family 4 subfamily F member 17,OR4F17
brain derived neurotrophic factor,BDNF
SCAN domain containing 2 pseudogene,SCAND2P
coiled-coil domain containing 121,CCDC121
olfactory receptor family 10 subfamily AB member 1 pseudogene,OR10AB1P
BCL2 family apoptosis regulator BOK,BOK
zinc finger protein 843,ZNF843
"testis expressed transcript, Y-linked 14",TTTY14
profilin family member 4,PFN4
olfactory receptor family 51 subfamily V member 1,OR51V1
MAGE family member B6,MAGEB6
olfactory receptor family 52 subfamily Z member 1 pseudogene,OR52Z1P
cyclin dependent kinase 5 regulatory subunit 1,CDK5R1
olfactory receptor family 51 subfamily A member 1 pseudogene,OR51A1P
PAK6 antisense RNA 1,PAK6-AS1
long intergenic non-protein coding RNA 303,LINC00303
"zinc finger protein 285B, pseudogene",ZNF285BP
transcription elongation regulator 1 like,TCERG1L
NCK associated protein 5,NCKAP5
MAGE family member B18,MAGEB18
defensin beta 104A,DEFB104A
RUN and FYVE domain containing 1,RUFY1
olfactory receptor family 52 subfamily E member 2,OR52E2
brain abundant membrane attached signal protein 1,BASP1
defensin beta 103A,DEFB103A
olfactory receptor family 51 subfamily L member 1,OR51L1
leucine rich repeat containing 37 member A3,LRRC37A3
METTL1 pseudogene 1,METTL1P1
V-set and immunoglobulin domain containing 10,VSIG10
MIR7-3 host gene,MIR7-3HG
iroquois homeobox 5,IRX5
"meteorin like, glial cell differentiation regulator",METRNL
family with sequence similarity 91 member A1,FAM91A1
keratin 18 pseudogene 28,KRT18P28
gap junction protein alpha 1 pseudogene 1,GJA1P1
WD repeat and SOCS box containing 2,WSB2
glutamate ionotropic receptor NMDA type subunit 1,GRIN1
SRY-box transcription factor 11,SOX11
thymidylate synthetase,TYMS
olfactory receptor family 51 subfamily G member 2,OR51G2
olfactory receptor family 51 subfamily A member 7,OR51A7
transcription elongation factor A N-terminal and central domain containing,TCEANC
olfactory receptor family 51 subfamily T member 1,OR51T1
PNMA family member 1,PNMA1
MEF2 activating motif and SAP domain containing transcriptional regulator,MAMSTR
TYMS opposite strand RNA,TYMSOS
ankyrin repeat and LEM domain containing 2,ANKLE2
complement C8 gamma chain,C8G
fucosyltransferase 2 (H blood group),FUT2
olfactory receptor family 51 subfamily S member 1,OR51S1
olfactory receptor family 7 subfamily A member 15 pseudogene,OR7A15P
olfactory receptor family 51 subfamily F member 2,OR51F2
EF-hand calcium binding domain 5,EFCAB5
glucosaminyl (N-acetyl) transferase 4,GCNT4
"transducer of ERBB2, 2 pseudogene 1",TOB2P1
"mucin 20, cell surface associated",MUC20
THAP domain containing 4,THAP4
olfactory receptor family 51 subfamily N member 1 pseudogene,OR51N1P
nuclear factor of activated T cells 2 interacting protein,NFATC2IP
lymphocyte antigen 6 family member H,LY6H
RPL7L1 pseudogene 11,RPL7L1P11
family with sequence similarity 89 member B,FAM89B
serine hydroxymethyltransferase 1,SHMT1
tripartite motif containing 60,TRIM60
uncharacterized LOC107984399,LOC107984399
"SEC24 homolog C, COPII coat complex component",SEC24C
FMR1 neighbor,FMR1NB
SMCR8-C9orf72 complex subunit,SMCR8
HLA complex group 4,HCG4
defensin beta 104B,DEFB104B
chromosome 19 open reading frame 18,C19orf18
DEAF1 transcription factor,DEAF1
metaxin 3,MTX3
SIX homeobox 5,SIX5
interferon omega 1,IFNW1
F-box protein 46,FBXO46
zinc finger DHHC-type palmitoyltransferase 13,ZDHHC13
WD repeat domain 73,WDR73
"DNA polymerase epsilon, catalytic subunit",POLE
PH domain containing endocytic trafficking adaptor 2,PHETA2
sodium voltage-gated channel beta subunit 4,SCN4B
DS cell adhesion molecule like 1,DSCAML1
ras homolog family member G,RHOG
EPS8 signaling adaptor L2,EPS8L2
zinc finger DHHC-type palmitoyltransferase 22,ZDHHC22
IRAG1 antisense RNA 1,IRAG1-AS1
anoctamin 6,ANO6
zinc finger and BTB domain containing 34,ZBTB34
PRDM16 divergent transcript,PRDM16-DT
family with sequence similarity 9 member B,FAM9B
centrin 1,CETN1
family with sequence similarity 210 member A,FAM210A
olfactory receptor family 2 subfamily T member 35 (gene/pseudogene),OR2T35
transaldolase 1,TALDO1
unc-51 like autophagy activating kinase 1,ULK1
nucleosome assembly protein 1 like 4 pseudogene 1,NAP1L4P1
olfactory receptor family 14 subfamily C member 36,OR14C36
ribosomal modification protein rimK like family member A,RIMKLA
clavesin 1,CLVS1
olfactory receptor family 2 subfamily M member 7,OR2M7
ribosomal protein S6 kinase A3,RPS6KA3
pseudouridine synthase 1,PUS1
PEST containing nuclear protein pseudogene 5,PCNPP5
chromodomain helicase DNA binding protein 9,CHD9
olfactory receptor family 2 subfamily T member 12,OR2T12
sperm acrosome associated 4,SPACA4
olfactory receptor family 2 subfamily T member 33,OR2T33
glutamine amidotransferase class 1 domain containing 1,GATD1
olfactory receptor family 2 subfamily M member 1 pseudogene,OR2M1P
long intergenic non-protein coding RNA 1561,LINC01561
tripartite motif containing 72,TRIM72
defensin beta 103B,DEFB103B
defensin beta 4B,DEFB4B
endosulfine alpha pseudogene 3,ENSAP3
olfactory receptor family 2 subfamily AJ member 1,OR2AJ1
frizzled class receptor 8,FZD8
gap junction protein delta 4,GJD4
F-box protein 39,FBXO39
claudin 22,CLDN22
CASK interacting protein 2,CASKIN2
olfactory receptor family 7 subfamily E member 125 pseudogene,OR7E125P
zinc finger and BTB domain containing 38,ZBTB38
BEN domain containing 2,BEND2
LY6S antisense RNA 1,LY6S-AS1
DLGAP1 antisense RNA 1,DLGAP1-AS1
long intergenic non-protein coding RNA 469,LINC00469
uncharacterized LOC79857,FLJ13224
coiled-coil domain containing 71,CCDC71
chromosome 10 open reading frame 71,C10orf71
alpha-2-macroglobulin like 1 pseudogene,OVOS2
LRRN4 C-terminal like,LRRN4CL
uncharacterized FLJ40194,FLJ40194
translocase of inner mitochondrial membrane 22,TIMM22
HIC ZBTB transcriptional repressor 1,HIC1
PTPRF interacting protein alpha 3,PPFIA3
MAGE family member F1,MAGEF1
uromodulin like 1,UMODL1
olfactory receptor family 7 subfamily E member 8 pseudogene,OR7E8P
NINJ2 antisense RNA 1,NINJ2-AS1
sterile alpha motif domain containing 9 like,SAMD9L
ZNFX1 antisense RNA 1,ZFAS1
ubiquitin conjugating enzyme E2 U,UBE2U
pro-apoptotic WT1 regulator,PAWR
TGFB induced factor homeobox 1,TGIF1
nucleosome assembly protein 1 like 5,NAP1L5
CBX3 pseudogene 1,CBX3P1
ribosomal protein L19 pseudogene 3,RPL19P3
NIM1 serine/threonine protein kinase,NIM1K
CD19 molecule,CD19
glutamate rich 5,ERICH5
olfactory receptor family 2 subfamily T member 8,OR2T8
